Data_Posicao;Codigo_Ativo;Preco
07/03/2018;EQ0038421400002000;23,07
07/03/2018;EQ0015976000001000;43,19
07/03/2018;EQ0013610800001000;37,25
07/03/2018;EQ0013610800002000;38,85
07/03/2018;EQ0000000029547895;29,05
07/03/2018;EQ0141459000002000;
07/03/2018;EQ0015847700002000;46,66
07/03/2018;EQ0000000003166012;11,72
07/03/2018;EQ0000000006240309;26,15
07/03/2018;EQ0722832300001000;12,27
07/03/2018;EQ0000000003195263;23,9
07/03/2018;EQ0013610900002000;8,26
07/03/2018;EQ0000000001337409;24,17
07/03/2018;EQ0015866700003000;
07/03/2018;EQ0000000001368717;44,14
07/03/2018;EQ0015872500001000;15,41
07/03/2018;EQ0000000003171205;8,71
07/03/2018;EQ0013611000001000;23,65
07/03/2018;EQ0013611000003000;27,09
07/03/2018;EQ0015875600001000;21,43
07/03/2018;EQ0000000001773988;13,59
07/03/2018;EQ0000000002385865;72,7
07/03/2018;EQ0000000003739784;31,42
07/03/2018;EQ0015849300001000;63,1
07/03/2018;EQ0000000009236322;28,77
07/03/2018;EQ0015872000002000;16,73
07/03/2018;EQ0015889000002000;7,81
07/03/2018;EQ0000000003323912;36,5
07/03/2018;EQ0000000003169877;39,63
07/03/2018;EQ0015883800002000;13,7
07/03/2018;EQ0013611200002000;51,85
07/03/2018;EQ0000000003348380;9,41
07/03/2018;EQ0081505000001000;15,12
07/03/2018;EQ0015885800002000;16,58
07/03/2018;EQ0021954000001000;25,16
07/03/2018;EQ0015886100001000;34,6
07/03/2018;EQ0000000001159122;90,03
07/03/2018;EQ0000000003218260;14,93
07/03/2018;EQ0000000002711316;
07/03/2018;EQ0093845500001000;33,41
07/03/2018;EQ0017317900002000;67,7
07/03/2018;EQ0013611400001000;23,36
07/03/2018;EQ0013611400002000;21,67
07/03/2018;EQ0000000017383061;28,7
07/03/2018;EQ0015874100001000;79,68
07/03/2018;EQ0021922900001000;26,25
07/03/2018;EQ0021905100001001;37,75
07/03/2018;EQ0000000002927093;20,45
07/03/2018;EQ0032854600001000;14,52
07/03/2018;EQ0082524800001000;72,92
07/03/2018;EQ0015441900002000;
07/03/2018;EQ0013611700001000;42,85
07/03/2018;EQ0032855900002000;52,28
07/03/2018;EQ0017305500001000;22,57
07/03/2018;EQ0000000033463192;18,17
07/03/2018;EQ0015827200001000;9,05
07/03/2018;EQ0000000008789632;36,6
07/03/2018;EQ0000000032227192;26,95
07/03/2018;EQ0032830500001000;39,06
07/03/2018;EQ0000000003470565;5,78
07/03/2018;EQ0000000055415863;13,5
07/03/2018;EQ0000000060225966;72,1
07/03/2018;EQ0000000060709443;21,96
07/03/2018;EQ0000000061013811;
05/01/2018;EQ0038421400002000;21,7
05/01/2018;EQ0015976000001000;33,67
05/01/2018;EQ0013610800001000;33
05/01/2018;EQ0013610800002000;35,51
05/01/2018;EQ0000000029547895;28,97
05/01/2018;EQ0141459000002000;31,49
05/01/2018;EQ0021954000001000;39,24
05/01/2018;EQ0000000003166012;12,55
05/01/2018;EQ0000000006240309;23,79
05/01/2018;EQ0722832300001000;16,57
05/01/2018;EQ0000000003195263;24,73
05/01/2018;EQ0013610900002000;6,83
05/01/2018;EQ0015866700003000;23,9
05/01/2018;EQ0000000001368717;42,89
05/01/2018;EQ0015827200001000;
05/01/2018;EQ0000000003171205;12,7
05/01/2018;EQ0013611000003000;21,25
05/01/2018;EQ0015875600001000;20,65
05/01/2018;EQ0000000001773988;13,46
05/01/2018;EQ0000000002385865;65,64
05/01/2018;EQ0000000003739784;33,3
05/01/2018;EQ0015849300001000;47,5
05/01/2018;EQ0000000009236322;28,82
05/01/2018;EQ0015872000002000;
05/01/2018;EQ0015889000002000;6,27
05/01/2018;EQ0000000003323912;35,98
05/01/2018;EQ0015883800002000;11,39
05/01/2018;EQ0013611200002000;45,23
05/01/2018;EQ0000000003348380;9,98
05/01/2018;EQ0015885800002000;16,25
05/01/2018;EQ0015886100001000;35,78
05/01/2018;EQ0000000001159122;78,6
05/01/2018;EQ0000000003218260;15,47
05/01/2018;EQ0000000002711316;72,99
05/01/2018;EQ0093845500001000;33
05/01/2018;EQ0017317900002000;77,56
05/01/2018;EQ0013611400001000;17,84
05/01/2018;EQ0013611400002000;16,83
05/01/2018;EQ0000000017383061;31,65
05/01/2018;EQ0015874100001000;90,45
05/01/2018;EQ0021922900001000;23,06
05/01/2018;EQ0021905100001001;33,7
05/01/2018;EQ0000000002927093;21,25
05/01/2018;EQ0015847700002000;45,22
05/01/2018;EQ0032854600001000;13,26
05/01/2018;EQ0015441900002000;10,03
05/01/2018;EQ0013611700001000;42,29
05/01/2018;EQ0032855900002000;49,63
05/01/2018;EQ0017305500001000;24,5
05/01/2018;EQ0000000033463192;17,83
05/01/2018;EQ0000000032227192;23,66
05/01/2018;EQ0032830500001000;35,2
05/01/2018;EQ0000000001337409;
05/01/2018;EQ0013611000001000;18,26
05/01/2018;EQ0081505000001000;18,71
05/01/2018;EQ0000000008789632;33,2
