Data_Posicao;Quantidade_Carteira;Codigo_Ativo
07/03/2018;100800;EQ0038421400002000
07/03/2018;56460;EQ0015976000001000
07/03/2018;22425;EQ0013610800001000
07/03/2018;121530;EQ0013610800002000
07/03/2018;20805;EQ0000000029547895
07/03/2018;7605;EQ0141459000002000
07/03/2018;13155;EQ0015847700002000
07/03/2018;10470;EQ0000000003166012
07/03/2018;56745;EQ0000000006240309
07/03/2018;14595;EQ0722832300001000
07/03/2018;28500;EQ0000000003195263
07/03/2018;8490;EQ0013610900002000
07/03/2018;1380;EQ0000000001337409
07/03/2018;2700;EQ0015866700003000
07/03/2018;7230;EQ0000000001368717
07/03/2018;4020;EQ0015872500001000
07/03/2018;1725;EQ0000000003171205
07/03/2018;6810;EQ0013611000001000
07/03/2018;6525;EQ0013611000003000
07/03/2018;16740;EQ0015875600001000
07/03/2018;4275;EQ0000000001773988
07/03/2018;15360;EQ0000000002385865
07/03/2018;10335;EQ0000000003739784
07/03/2018;15435;EQ0015849300001000
07/03/2018;9420;EQ0000000009236322
07/03/2018;17625;EQ0015872000002000
07/03/2018;4800;EQ0015889000002000
07/03/2018;15450;EQ0000000003323912
07/03/2018;3660;EQ0000000003169877
07/03/2018;57735;EQ0015883800002000
07/03/2018;173145;EQ0013611200002000
07/03/2018;15645;EQ0000000003348380
07/03/2018;23805;EQ0081505000001000
07/03/2018;12060;EQ0015885800002000
07/03/2018;20640;EQ0021954000001000
07/03/2018;25935;EQ0015886100001000
07/03/2018;6495;EQ0000000001159122
07/03/2018;4575;EQ0000000003218260
07/03/2018;6540;EQ0000000002711316
07/03/2018;6135;EQ0093845500001000
07/03/2018;11220;EQ0017317900002000
07/03/2018;67455;EQ0013611400001000
07/03/2018;95385;EQ0013611400002000
07/03/2018;7425;EQ0000000017383061
07/03/2018;18000;EQ0015874100001000
07/03/2018;13905;EQ0021922900001000
07/03/2018;13680;EQ0021905100001001
07/03/2018;4020;EQ0000000002927093
07/03/2018;12510;EQ0032854600001000
07/03/2018;31740;EQ0082524800001000
07/03/2018;6135;EQ0015441900002000
07/03/2018;143835;EQ0013611700001000
