Data_Posicao;Quantidade_Negociada_Mercado;Codigo
07/03/2018;13617400;EQ0038421400002000
07/03/2018;7905300;EQ0015976000001000
07/03/2018;;EQ0013610800001000
07/03/2018;8780100;EQ0013610800002000
07/03/2018;3909700;EQ0000000029547895
07/03/2018;3128200;EQ0141459000002000
07/03/2018;1188900;EQ0015847700002000
07/03/2018;3578500;EQ0000000003166012
07/03/2018;7302700;EQ0000000006240309
07/03/2018;5757200;EQ0722832300001000
07/03/2018;4559700;EQ0000000003195263
07/03/2018;7499200;EQ0013610900002000
07/03/2018;341500;EQ0000000001337409
07/03/2018;614000;EQ0015866700003000
07/03/2018;1180200;EQ0000000001368717
07/03/2018;1205000;EQ0015872500001000
07/03/2018;4799300;EQ0000000003171205
07/03/2018;2550000;EQ0013611000001000
07/03/2018;1843900;EQ0013611000003000
07/03/2018;;EQ0015875600001000
07/03/2018;1316900;EQ0000000001773988
07/03/2018;608200;EQ0000000002385865
07/03/2018;5530200;EQ0000000003739784
07/03/2018;;EQ0015849300001000
07/03/2018;2586900;EQ0000000009236322
07/03/2018;14541700;EQ0015872000002000
07/03/2018;18389600;EQ0015889000002000
07/03/2018;1479300;EQ0000000003323912
07/03/2018;794100;EQ0000000003169877
07/03/2018;14901200;EQ0015883800002000
07/03/2018;9720000;EQ0013611200002000
07/03/2018;6318100;EQ0000000003348380
07/03/2018;5949000;EQ0081505000001000
07/03/2018;6635200;EQ0015885800002000
07/03/2018;22080900;EQ0021954000001000
07/03/2018;3374700;EQ0015886100001000
07/03/2018;705100;EQ0000000001159122
07/03/2018;3483100;EQ0000000003218260
07/03/2018;;EQ0000000002711316
07/03/2018;2092500;EQ0093845500001000
07/03/2018;503200;EQ0017317900002000
07/03/2018;10075800;EQ0013611400001000
07/03/2018;50956600;EQ0013611400002000
07/03/2018;1208600;EQ0000000017383061
07/03/2018;1604600;EQ0015874100001000
07/03/2018;6800800;EQ0021922900001000
07/03/2018;1142300;EQ0021905100001001
07/03/2018;1247100;EQ0000000002927093
07/03/2018;6480600;EQ0032854600001000
07/03/2018;1107900;EQ0082524800001000
07/03/2018;13365200;EQ0015441900002000
07/03/2018;19334700;EQ0013611700001000
07/03/2018;1140000;EQ0032855900002000
07/03/2018;;EQ0017305500001000
07/03/2018;1625400;EQ0000000033463192
07/03/2018;10675900;EQ0015827200001000
07/03/2018;1446900;EQ0000000008789632
07/03/2018;2063300;EQ0000000032227192
07/03/2018;1149200;EQ0032830500001000
07/03/2018;2582200;EQ0000000003470565
07/03/2018;4555800;EQ0000000055415863
07/03/2018;5794300;EQ0000000060225966
07/03/2018;2495300;EQ0000000060709443
07/03/2018;221100;EQ0000000061013811
